,start,end,kor,eng
0,1834,4774,,"""The entrance to the dungeon is a moss covered door."
1,4775,7242,,"""You manage to open it only to find yourself"
2,7244,10045,,"""face-to-face with a hideous, foul-smelling,"
3,10047,11730,,"moss-covered ogre."""
4,11732,13865,,What do you do?
5,13867,16768,,"I say, ""Hey, Ma, what's for dinner?"""
6,19372,21656,,Seventeen.
7,21658,25660,,The ogre is amused by your joke and allows you to pass.
8,26412,29498,,"By the by, I liked it, too."
9,31050,32784,,"How go the wedding plans, Howard?"
10,32786,34753,,Great. We spent five hours last night
11,34755,36505,,at Macy's registering for gifts.
12,36507,37956,,Looks like I'm finally going to have
13,37958,39791,,that darling little earthenware asparagus dish
14,39793,40959,,I've always wanted.
15,40961,42460,,"See, this is the good thing"
16,42462,45096,,"about having a girlfriend 9,000 miles away."
17,45098,47799,,I can spend my nights doing whatever I want.
18,47801,49701,,You mean like playing nerd games with us
19,49703,53137,,and then taking a suspiciously long shower?
20,55825,58026,,Maybe.
21,58945,61646,,We enter the dungeon.
22,61648,63448,,You see a dragon.
23,63450,65951,,Really? So we're playing Dungeons & Dragons
24,65953,68670,,and we walk into a dungeon and see a dragon?
25,69739,72173,,Isn't that a little on the nose?
26,72175,74709,,"When you play Chutes and Ladders, do you complain"
27,74711,77045,,about all the chutes and all the ladders?
28,78163,81349,,Are you gonna eat that whole pie?
29,81351,83635,,Maybe. Why not?
30,83637,86671,,Who do I have in my life to watch my figure for?
31,87974,90058,,"Oh, God, did you watch Bridget Jones again?"
32,90977,93728,,"No, it's just that everybody's got someone."
33,93730,96364,,"Sheldon's with Amy, Howard's getting married,"
34,96366,97849,,you're dating my sister.
35,97851,99484,,"Now that Howard's getting married,"
36,99486,102186,,maybe he'll inflate one of his old girlfriends for you.
37,103522,105240,,You know who I blame for my loneliness?
38,105242,106524,,The United States of America.
39,106526,109544,,Your movies and your TV shows promised streets paved
40,109546,112998,,with beautiful blonde women with big bazongas.
41,113966,116585,,"Eat another pie, you'll have your own bazongas."
42,117503,118703,,That's cruel.
43,118705,120422,,You know it goes straight to my hips.
44,121474,122974,,"Gentlemen, please focus."
45,122976,125477,,You're facing a fire-breathing dragon.
46,125479,127145,,I don't know if I want to play anymore.
47,127147,129931,,Because you don't have a girlfriend?
48,129933,131566,,"Well, good Lord, if that becomes a reason not"
49,131568,134603,,"to play Dungeons & Dragons, this game's in serious trouble."
50,135688,139107,,"¢Ü Our whole universe was in a hot, dense state ¢Ü"
51,139109,142577,,¢Ü Then nearly 14 billion years ago expansion started... Wait! ¢Ü
52,142579,144279,,¢Ü The Earth began to cool ¢Ü
53,144281,146564,,"¢Ü The autotrophs began to drool, Neanderthals developed tools ¢Ü"
54,146566,149284,,¢Ü We built the Wall ¢Ü ¢Ü   ¢Ü
55,149286,152087,,"¢Ü Math, Science, History, unraveling the mystery ¢Ü"
56,152089,153626,,¢Ü That all started with a big bang ¢Ü
57,153627,154338,,¢Ü   ¢Ü
58,154339,157839,,"Original Air Date on September 29, 2011"
59,157840,161340,,"== sync, corrected by   =="
60,162679,165640,,"Now, I assume we use this same wax later on"
61,165641,167941,,to neaten up each other's bikini regions.
62,167943,171111,,"Yeah, my bikini region is fine."
63,171113,173463,,Who's shocked? I'm not.
64,175032,176233,,(giggles)
65,176235,178601,,"So, Bernadette, how's the wedding planning going?"
66,178603,180954,,And I'm not asking as a prospective bridesmaid.
67,180956,183490,,Pick me! Pick me!
68,184659,188295,,We went cake-tasting yesterday.
69,188297,189612,,Raj came along.
70,189614,192949,,He cried and ate half the samples.
71,192951,195085,,"Oh, the poor guy's so lonely."
72,195087,196920,,We should set him up with someone.
73,196922,200456,,"You know, I met a really cute girl at work."
74,200458,203393,,She's married to a guy in one of our drug trials.
75,204395,206112,,"Well, hello?"
76,206114,207530,,She's married.
77,207532,209316,,"Yeah, but her husband is in"
78,209318,211301,,"serious congestive heart failure,"
79,211303,216489,,and a little birdie told me he's in the placebo group.
80,218142,220610,,"Okay, so future grief-stricken widow"
81,220612,222162,,is the one to beat.
82,224448,226366,,Are we ready to order?
83,226368,227334,,One moment.
84,227336,229202,,I'm conducting an experiment.
85,229204,233173,,With Dungeons & Dragons dice?
86,234342,236960,,"Yes. From here on in, I've decided"
87,236962,239829,,"to make all trivial decisions with a throw of the dice,"
88,239831,241181,,thus freeing up my mind
89,241183,244768,,do what it does best-- enlighten and amaze.
90,245936,250357,,"Page 14, item seven."
91,250359,251891,,"So, what's for dinner?"
92,251893,255061,,A side of corn succotash.
93,255780,257280,,Hmm. Interesting.
94,257282,260516,,"Um, Howard, can I see you for a minute, please?"
95,260518,262819,,I don't want to show any more of your friends
96,262821,266156,,how I can fit in the booster seats.
97,266158,269192,,"Uh, no, that's not it. Just come with me, please."
98,270861,274197,,Let's see what I'll be washing that succotash down with.
99,277084,278885,,A pitcher of margaritas.
100,280671,282756,,Do you really want that?
101,282758,284224,,That's the great thing.
102,284226,285558,,It doesn't matter.
103,285560,289145,,My mind is freed up to think about more important things.
104,289147,291014,,What's it thinking about now?
105,291016,293433,,Hamburgers and lemonade.
106,294602,298071,,"Um, Raj, there's someone I want you to meet."
107,298073,300607,,This is my friend Emily. I know her from my spin class.
108,303444,306479,,"Raj, relax. She can't hear you. She's deaf."
109,307331,311734,,"Emily, this is our friend Raj."
110,312703,314537,,Oh!
111,314539,317573,,Look at you guys just hitting it off.
112,317575,319242,,I am so good.
113,325049,326599,,Hi.
114,328769,330420,,"She says, ""It's nice to meet you"""""
115,330422,331638,,Does she really mean that
116,331640,333356,,or was she signing it sarcastically?
117,334859,339028,,"Raj says it's nice to meet you, too."
118,339030,341448,,"She says she has to go back to her family,"
119,341450,343650,,but Penny has her number if you want
120,343652,345535,,to text her and get together.
121,345537,347770,,"Okay, I'm going to play it cool."
122,347772,352208,,"Tell her, ""Maybe. Whatever, babe."""
123,354111,356129,,He'll text you.
124,358666,361384,,Look at that. I have a date.
125,361386,362952,,I love America again.
126,366674,368308,,And now for dessert...
127,368310,371294,,"Come on, hot fudge sundae, come on, hot fudge sundae."
128,371296,373313,,Bam! That's what I'm talking about!
129,376484,378651,,"Okay, as soon as she gets here,"
130,378653,380353,,"so she knows I'm cool with it,"
131,380355,382655,,I'm going to make a joke about her being deaf.
132,386026,389279,,"I was thinking, ""Hey, did you hear the one about...?"
133,389281,391147,,"Oh, no, I bet you didn't."""
134,393284,397420,,Maybe we should revisit your lonely fat guy plan.
135,397422,399422,,"Oh, she's here."
136,399957,402625,,No joke.
137,406881,408481,,She says she's sorry she's late.
138,408483,409933,,Tell her it doesn't matter.
139,409935,413019,,"Tell her, her eyes shimmer like opalescent lilies"
140,413021,417273,,in the lake of the palace of the celestial maidens.
141,418392,419943,,Really?
142,419945,421895,,That's the first thing you want to say?
143,421897,423646,,I worked on it all night. Use it.
144,423648,425732,,"Look, I don't know the sign for opalescent."
145,425734,426866,,Then spell it.
146,426868,428234,,I don't know how to spell it.
147,428236,430019,,You're blowing this for me!
148,432022,433740,,He likes your eyes.
149,433742,436192,,You're making me sound like a caveman.
150,437361,439412,,"She says, ""Thank you. You have nice eyes, too."""
151,439414,442081,,"Really? Ask her how many children she wants,"
152,442083,445385,,"and whatever number she says, say, ""Me, too."""
153,448205,449722,,No.
154,449724,452725,,"Fine. Tell her I have a deep, sexy voice"
155,452727,454677,,like James Earl Jones.
156,454679,458515,,She doesn't know what James Earl Jones sounds like.
157,458517,461818,,Great. Then she won't know I'm lying.
158,463938,466990,,"Let's see, what else can I tell you about me"
159,466992,471327,,that would make you like me?
160,471329,472779,,"Ooh, I love music."
161,474114,475748,,Do you love music?
162,475750,480036,,You really want to ask her that?
163,480038,482839,,You're right. Everyone loves music.
164,484842,487427,,"She says, ""Do you play an instrument?"""
165,487429,489078,,"No,"
166,489080,490430,,"but when I was six years old,"
167,490432,492465,,I tried to start a boy band called
168,492467,495218,,Frankie Goes to Bollywood.
169,497888,500590,,"But I couldn't get any other boys to join,"
170,500592,502559,,so my parents asked the servants
171,502561,505028,,to be my backup dancers.
172,505030,506429,,"Wait, when you sign ""servants,"""
173,506431,507614,,don't sign it like I'm bragging.
174,507616,509482,,Sign it in a way that I sound humble
175,509484,514537,,"with just a hint of ""That's right, I had servants."""
176,515405,517457,,Do you hear yourself
177,517459,521210,,"Yes, but she doesn't. So get signing, hand monkey."
178,524965,529618,,I think I wrote a letter to Santa Claus every day.
179,529620,531137,,"And then on Christmas morning,"
180,531139,534056,,under the tree is a little puppy
181,534058,536308,,with a red ribbon.
182,536310,537426,,(chuckles)
183,537428,538677,,What are you doing?
184,538679,540846,,Texting Bernadette that I'm gonna be late.
185,541464,542648,,"Dude, what is she saying?"
186,542650,544517,,It's a funny story about a puppy.
187,544519,546135,,Just smile and laugh.
188,546137,547820,,(chuckles)
189,548738,550739,,"Quick, quick, stop smiling. - What? Why?"
190,550741,552942,,The puppy died-- it choked on a doll head.
191,552944,554527,,"Sad face, sad face!"
192,557614,559865,,"It's a little hard to see with the city lights,"
193,559867,563485,,but that W-shaped constellation is Cassiopeia.
194,563487,566655,,And she was the mother of Andromeda who's over there.
195,567924,570876,,"Look, pretty stars."
196,573513,576999,,This is her car.
197,577001,578551,,She hopes she can see you again sometime.
198,578553,580302,,"Good, good."
199,580304,581937,,"Oh, boy,"
200,581939,582888,,help me out here.
201,582890,584673,,Does she want me to kiss her or not?
202,584675,587342,,"I speak sign language, I don't read minds."
203,587344,588561,,"If you were me, would you kiss her?"
204,588563,591013,,"Yeah, but I'm a make out king."
205,600657,604193,,I was so smooth on that date.
206,604195,606712,,You? I made you smooth.
207,606714,608080,,You were an idiot.
208,608082,609548,,"Whatever, dude. She kissed me."
209,609550,611133,,"It might've been on your lips,"
210,611135,612418,,but it was my kiss.
211,612420,614887,,"Oh, fine. Let's agree she kissed both of us."
212,616590,618207,,Okay.
213,623771,626522,,"Mustache is looking good there, Sheldon."
214,629581,631132,,Don't thank me. Thank the dice.
215,631134,634585,,They told me what percentage of my face to shave.
216,634587,636387,,Why are you still doing this?
217,636389,637838,,Because it's working.
218,637840,639473,,"In the past few weeks,"
219,639475,641342,,"unburdened by trivial decisions,"
220,641344,643177,,I've co-authored two papers
221,643179,644261,,"in notable peer-reviewed journals,"
222,644263,646981,,and I'm close to figuring out why
223,646983,648399,,the Large Hadron Collider has yet
224,648401,650684,,to isolate the Higgs boson particle.
225,650686,653053,,"You left out, got chafed testicles"
226,653055,655656,,because you no longer wear underpants.
227,658393,661562,,The dice giveth and the dice taketh away.
228,663231,665166,,Is Raj out with Emily again?
229,665168,667168,,"Yeah, every night for the last month."
230,667170,669253,,"Wow, can't believe he has a girlfriend."
231,671089,672623,,Me neither.
232,674042,676910,,Here's some other fun news on the Raj/Emily front.
233,676912,680347,,He gave her a pair of diamond earrings and leased her a car.
234,680349,681765,,You're kidding.
235,681767,683717,,You think she's taking advantage of him?
236,683719,684935,,"Oh, of course not."
237,684937,686637,,She wouldn't do something like that.
238,686639,688355,,She's deaf.
239,690225,693310,,Deaf women can't be gold diggers?
240,693312,695396,,"Handicapped people are nice, Leonard."
241,695398,697698,,Everyone knows that.
242,698567,701735,,"Yeah, I actually have information about Raj"
243,701737,703821,,that would be helpful with this discussion.
244,707492,710544,,Could you tell us?
245,710546,712746,,Let's see.
246,714633,716800,,"Snake eyes. Sorry, bud."
247,718003,719336,,"Wait, hang on."
248,719338,720721,,Doubles. Roll again.
249,723675,725342,,"Okay, get this."
250,727262,729563,,"It doesn't matter if he's showering her with gifts,"
251,729565,732799,,because the Koothrappalis are vastly wealthy.
252,733652,735019,,"What do you mean ""vastly wealthy""?"
253,735021,737321,,"Well, ""wealthy"" means a lot of money."
254,737323,738522,,"""Vastly"" means even more."
255,738524,740858,,I'm not sure what's tripping you up.
256,742110,744028,,"Look, I know they have money. I don't think it's that much."
257,744030,745312,,"No, you're wrong."
258,745314,747981,,"As you know, a few years ago, I achieved one of"
259,747983,750618,,my lesser dreams and became a notary public.
260,750620,752086,,"Well, from time to time,"
261,752088,755623,,I notarize banking documents for Raj.
262,755625,760327,,"The Koothrappalis aren't just rich, they're Richie Rich rich."
263,761546,763464,,"Well, so how much is that?"
264,763466,767218,,About halfway between Bruce Wayne and Scrooge McDuck.
265,768103,769069,,What the hell?
266,769071,770688,,"The last time we went to the zoo,"
267,770690,773357,,that son of a bitch made me buy him a churro.
268,773359,775893,,"Listen, guys, I'm sorry, I don't mean to be rude,"
269,775895,779480,,"but I need to go call Raj's sister, who I love so much."
270,780982,783867,,So vastly much.
271,785704,790708,,"Okay, so he's got money, and it's a few gifts and a car."
272,790710,792793,,And she got him to pay off all her credit cards.
273,792795,795696,,What? He paid off her credit cards?
274,795698,798632,,"Damn it, I could've dated Raj for a couple months."
275,800218,802469,,"But I-I wouldn't have, because I'm not that kind of girl."
276,802471,804305,,We should really talk to Raj.
277,804307,807141,,"He's not going to listen, he's in love."
278,807143,808842,,Can't figure out what to do?
279,808844,811061,,I remember those days.
280,811063,814398,,"Now, if you'll excuse me, I have to..."
281,814400,816483,,stay right here.
282,819604,821238,,"Yeah, this is a bad idea."
283,821240,822439,,We should go. - No.
284,822441,824074,,I'm the one that introduced him to her.
285,824076,825609,,I've got to say something.
286,828446,830080,,Wow.
287,831833,833900,,You're engaged to my friend.
