,start,end,kor,eng
0,2202,3878,,It's amazing people keep coming
1,3879,5278,,to comic book stores
2,5280,8413,,instead of just downloading comics digitally.
3,8415,9913,,It's probably for the best.
4,9915,11980,,"For a lot of these guys, the weekly trip here"
5,11982,14080,,is the only chance their mom has to go down
6,14082,16047,,to the basement and change their sheets.
7,17148,20847,,"Oh, that reminds me, I get fresh sheets tonight. Yay."
8,22949,24515,,Well?
9,24517,26415,,What do you think of New Comic Book Night?
10,26417,28916,,"Magic, huh?"
11,28918,30817,,"Sheldon, I'm disappointed."
12,30819,32018,,"As a brilliant man,"
13,32020,33152,,you're entitled to a vice.
14,33154,34820,,I could understand frequenting an opium den
15,34822,37156,,or hunting your fellow man for sport.
16,38258,41725,,But this? Lame-o.
17,42627,44860,,"Well, A) Comic books employ storytelling"
18,44862,46128,,"through sequential art,"
19,46130,48263,,"an medium that dates back 17,000 years"
20,48265,50231,,"to the cave paintings of Lascaux,"
21,50233,52533,,and B) You play the harp.
22,52535,54067,,Like that's cool.
23,57237,59604,,Can I help you find anything?
24,59606,61705,,A comic that depicts a woman whose bosom
25,61707,63907,,can't be used as a flotation device.
26,64709,66209,,Sorry. Most of the guys
27,66211,68411,,who come in here like big boobs.
28,68413,70679,,Couple of them have big boobs.
29,72015,73215,,"Hey, look, the new"
30,73217,75316,,Warlords of Ka'a expansion pack is out.
31,75318,77484,,A new one? Unbelievable.
32,77486,79786,,"They just keep making up more cheesy monsters,"
33,79788,83189,,slapping them on cards and selling them at 25 bucks a pop.
34,83191,86924,,It's like a secret tax on guys who can't get laid.
35,87825,88992,,They're not even trying.
36,88994,91194,,Remember the Satanimals pack with the Hellephant?
37,91196,92528,,"Why, absurd."
38,92530,94963,,"What was he, a bad elephant who died and went to hell?"
39,94965,96397,,What could an elephant
40,96399,99732,,possibly do that would cause him eternal damnation?
41,99734,101433,,"""Wild West and Witches""?"
42,101435,104535,,What kind of loser cares about a showdown
43,104537,108471,,between Billy the Kid and the White Wizard of the North?
44,108473,109973,,A total loser.
45,109975,112008,,"Obviously, a guy with a six-shooter"
46,112010,114043,,beats an old man with a magic wand.
47,115579,117312,,"Well, h-hold on."
48,118381,120182,,"Uh, what if the wizard casts"
49,120184,123451,,a Helmet of Confusion spell on Billy the Kid's cowboy hat?
50,123453,124852,,What? Please!
51,124854,126520,,This is Billy the Kid we're talking about.
52,126522,128554,,"I mean, the wizard would get shot between the eyes"
53,128556,130155,,"before he could ever get out the words,"
54,130157,131857,,"""What the hell is Billy the Kid doing"
55,131859,134225,,"in the mystic realm of Ka'a?"""
56,134227,136027,,Leonard...
57,136029,139096,,What's the deal with Sheldon's friend Amy?
58,139098,140263,,Are they a couple?
