,start,end,kor,eng
0,2306,4824,,(phone rings)
1,6160,7360,,Howard Wolowitz.
2,7362,9529,,"MAN: Hey, Howard. Dave Roeger here at NASA."
3,9531,11814,,We need to talk about your upcoming mission.
4,11816,15835,,"Yes, yes, I've been doing my push-ups."
5,15837,18955,,"I'm still stuck at nine, but..."
6,21158,24961,,...that's going all the way down with no one holding me.
7,24963,27464,,"That's great, uh, but that's not why I called."
8,27466,29599,,We've run into a bit of a snafu.
9,29601,32101,,"Your Soyuz capsule failed the pressurization test,"
10,32103,35688,,"so bottom line, mission's been scrubbed."
11,37441,40543,,You're kidding. So what does that mean?
12,40545,43480,,Uh-huh.
13,43482,45231,,Uh-huh. (laughs)
14,45233,47250,,"Boy, I got to tell you,"
15,47252,48902,,I'm really disappointed.
16,48904,50370,,This was my dream
17,50372,53490,,ever since I was a little kid.
18,53492,55241,,"Okay, well, uh,"
19,55243,57277,,thanks for the call.
20,57279,59963,,"Yep, you, too."
21,59965,61697,,Yes! Thank you!
22,61699,65201,,(laughs): Oh! Oh...
23,65203,67554,,I'm not gonna die in space!
24,67556,69339,,(chuckling)
25,69341,71724,,"(exhales) I'm gonna die the way God intended,"
26,71726,75094,,"in my late 50s, with a heart full of pastrami."
27,76180,79399,,"¢Ü Our whole universe was in a hot, dense state ¢Ü"
28,79401,83203,,¢Ü Then nearly 14 billion years ago expansion started... Wait! ¢Ü
29,83205,84737,,¢Ü The Earth began to cool ¢Ü
30,84739,87674,,"¢Ü The autotrophs began to drool, Neanderthals developed tools ¢Ü"
31,87676,89692,,¢Ü We built the Wall ¢Ü ¢Ü   ¢Ü
32,89694,92445,,"¢Ü Math, Science, History, unraveling the mystery ¢Ü"
33,92447,94547,,¢Ü That all started with a big bang ¢Ü
34,94549,96516,,¢Ü   ¢Ü
35,96517,100517,,"Original Air Date on May 3, 2012"
36,100518,104518,,"== sync, corrected by   =="
37,105696,108665,,SHELDON: I'm going to need a larger shirt.
38,111886,114254,,This one's a little tight under the arms.
39,114256,115722,,Okay.
40,115724,117090,,Do you think maybe it's tight
41,117092,118558,,because you're wearing long underwear?
42,118560,120744,,"Yes, of course that's why it's tight."
43,122513,123980,,"All right, let me rephrase the question."
44,123982,125682,,Why are you wearing long underwear?
45,125799,127165,,You're kidding.
46,127167,130201,,Shouldn't the question be: why   you?
47,130203,134689,,"No, it should be: why are you? (sighs) Leonard,"
48,134691,136858,,these rental tuxedos have been
49,136860,138993,,worn by hundreds of sweaty strangers.
50,139789,141973,,"I don't like my own sweat touching my skin,"
51,141975,144125,,how do you think I feel about theirs?
