,start,end,kor,eng
0,1792,4446,신부 들러리  드레스는 구했어?,
1,4447,7815,원뿔형 도로표지처럼  보이고 싶다면 성공이야,
2,7817,11736,나한테 해결책이 있어,
3,11738,12787,정말?,
4,12789,16023,12년 전 내 사촌 아이린이,
5,16025,18025,결혼식 전날 밤에,
6,18027,20077,일산화탄소 사고로 죽었어,
7,21246,22713,끔찍하다,
8,22715,24498,그렇지만은 않아,
9,25584,27551,신부 들러리들이  입을 드레스가,
10,27553,29754,아직 남아있고 공짜야,
11,29756,35342,유독가스 속에  한 줄기 희망이 있었어,
12,35344,36844,이것 봐,
13,36846,37878,아직 포장되어 있어,
14,37880,39847,신부 들러리 말고  드레스를 말한 거야,
15,42517,43818,괜찮을지 모르겠다,
16,43820,45486,돌아가신 분들의 드레스잖아,
17,45488,47521,캡 소매도 좀 그렇다,
18,49275,51558,눈치채지 않았으면 했는데,
19,51560,54895,아이린은 싼 옷이라면  사족을 못 썼어,
20,54897,57164,난방기도 저렴해서 문제였지,
21,58366,59950,아가씨들,
22,59952,64455,이곳은 한때  지적 공간으로 활용되었어,
23,64457,66573,정신적 영양도 공급되고,
24,66575,68125,배도 채워졌지,
25,68127,71078,"누구의 탓이라 하지 않겠지만, 페니",
26,71080,76250,식사 때 나누는  대화의 수준이 떨어졌어,
27,76252,80271,다시 말하지만  누구의 잘못이라 할 수 없어,
28,81523,82723,알았어,
29,82725,84275,그럼 어떤 얘기를 할까?,
30,84277,86727,쉘든한테 그런 질문을?,
31,86729,88896,우리가 그렇게 싫어?,
32,90198,91431,대화 주제를 준비해왔어,
33,91433,95653,초보자부터 고급까지 모두가 좋아할 거야,
34,95655,97705,이번에는 날 쳐다봤잖아,
35,98623,99707,당연하지,
36,99709,101125,피부가 설화 석고처럼 곱잖아,
37,101127,103461,모공이라는 건 들어봤니?,
38,104262,106046,첫 번째 주제야,
39,106048,108549,유럽입자물리연구소에서  빛보다 빠른 입자 발견,
40,108551,110484,패러다임을 바꾸는 혁명적 발견인가,
41,110486,113838,스위스 치즈 구멍처럼  허점 투성인가?,
42,113840,115222,대화 시작!,
43,116308,119426,우리 집 가서 웨딩 잡지 볼 사람?,
44,120730,123564,"누구의 잘못도 아니지만, 먼저 나가볼게",
45,125350,127234,같이 가자,
46,127236,129153,너도 가려고?,
47,129155,131939,"쉘든, 나도 여자야",
48,131941,134658,에스트로겐이 분비되면  광택지를 넘겨야할 욕구를 느껴,
49,134660,137077,그리고 내 몸에 자괴감이 들겠지,
50,142200,144168,새로운 주제다,
51,144170,148205,"여자들은 신비로운 존재인가, 아니면 정신이 나간 걸까?",
52,148207,149206,맞아,
53,149208,150657,캡 소매가 어때서?,
54,150659,153294,어울리기만 하면 귀엽던데,
55,175695,178695,,
56,179196,182296,자막,
57,182338,185206,"에이미, 우리 구역에는  어쩐 일이야?",
58,185208,188042,너네 신경학과에서  프리온 단백질을 빌려줬어,
59,188044,190828,소해면상뇌증에 관한  연구를 하고 있거든,
