,start,end,kor,eng
0,3181,5042,,It was a nice retirement party.
1,5044,6228,,I guess.
2,6229,7264,,"Still, it's a shame"
3,7265,10166,,Professor Rothman was forced to step down.
4,10168,12201,,What choice did the university have?
5,12203,13335,,He snapped.
6,13337,16088,,It happens to theoretical physicists all the time.
7,16090,18340,,I wonder how long Sheldon's got.
8,20410,22294,,These shrimp are all the same size.
9,22296,24930,,There's no the logical order to eat them in.
10,26016,30186,,Can't be very long.
11,30188,32555,,"Hey, look, there's Rothman's empty office."
12,32557,34306,,"Sad. - Mm, indeed."
13,34308,35524,,Yeah.
14,35526,37142,,So sad.
15,37144,39311,,Dibs.
16,39313,41096,,(tape measure retracting)
17,41098,43782,,"What's up, fellas?"
18,43784,45784,,"What are you doing here, Kripke?"
19,45786,48621,,"Ah, measuring my new office for drapes."
20,48623,49989,,This is not your office.
21,49991,51707,,It hasn't been assigned yet.
22,51709,53409,,"Well, I called dibs at the Christmas party"
23,53411,54943,,when Professor Rothman tried to have intercourse
24,54945,56629,,with the Toys for Tots collection box.
25,57780,58914,,Dibs?!
26,58916,60916,,"This is a university, not a playground."
27,60918,62117,,Offices are not assigned
28,62119,63619,,because someone called dibs.
29,63621,64803,,You just called dibs.
30,64805,66338,,Shut it.
31,66340,68424,,Offices are assigned by seniority.
32,68426,70726,,I arrived at the university first.
33,70728,73562,,I arrived at the office first.
34,73564,75314,,I'm the proverbial early bird.
35,75316,77399,,Gentlemen.
36,77401,79401,,ALL: Professor Rothman.
37,80654,82855,,Good evening.
38,82857,85107,,"(others muttering ""Good evening"" )"
39,87694,90829,,I'm glad that men are wearing hats again.
40,91698,94533,,They're so distinguished.
41,96086,99705,,"¢Ü Our whole universe was in a hot, dense state ¢Ü"
42,99707,103042,,¢Ü Then nearly 14 billion years ago expansion started... Wait! ¢Ü
43,103044,104643,,¢Ü The Earth began to cool
44,104645,107212,,"¢Ü The autotrophs began to drool, Neanderthals developed tools ¢Ü"
45,107214,109882,,¢Ü We built the Wall ¢Ü   ¢Ü
46,109884,112551,,"¢Ü Math, Science, History, unraveling the mystery ¢Ü"
47,112553,114470,,¢Ü That all started with a big bang ¢Ü
48,114472,116438,,¢Ü   ¢Ü
49,116463,120463,,"Original Air Date on February 16, 2012"
50,120464,124464,,"== sync, corrected by   =="
51,126549,128216,,I got you a little something.
52,128218,130051,,A little something?
53,130053,132203,,"Oh, it..."
54,134223,136391,,"Oh, this is huge."
55,136393,138459,,What's huge is what you've done for me.
56,138461,140562,,"Oh, no, Amy, I haven't done anything."
57,140564,143297,,"No, no, before I met you, I was a mousy wallflower."
58,143299,144682,,But look at me now.
59,144684,147952,,I'm like some kind of downtown hipster party girl.
60,148654,150021,,"With a posse, a boyfriend"
61,150023,153441,,"and a new lace bra that hooks in the front, of all things."
62,153443,154843,,Open it.
63,154845,155810,,Open it.
64,155812,157996,,Okay.
65,166672,169174,,I wanted to get you something you didn't have.
66,169176,172393,,Wow!
67,172395,174128,,I... I don't know what to...
68,174130,176214,,Wow.
69,176216,177665,,Do you like it?
70,177667,180018,,Do I like it? Wow.
71,180020,182837,,"So, uh, where are you gonna hang it?"
72,182839,184939,,"Oh, my God. Hang it. Wow."
