,start,end,kor,eng
138,342531,344531,,"maybe that you'd be a little upset,"
139,344533,346617,,and then you'd realize that
140,346619,348869,,I'm a stallion that has to run free.
141,352791,355242,,And that would turn you on a little.
142,355244,359029,,"Okay, I'm an actress. Ask me again."
143,359031,361298,,Do you mind if I spend the weekend
144,361300,362916,,playing video games with the guys?
145,362918,364885,,Wha... the entire weekend?
146,364887,366553,,You mean I wouldn't see you at all?
147,366555,367504,,But I j...
148,367506,368371,,"No, no..."
149,368373,371058,,I knew what I was getting into.
150,371060,374378,,You can't put a saddle on Leonard Hofstadter.
151,376231,378882,,"Oh, my, is it getting hot in here?"
152,378884,381185,,
153,381187,384071,,
154,384073,385489,,(chuckles) What is that?
155,385491,387875,,An acting choice. - Oh.
156,387877,390277,,"So you chose that when you become turned on,"
157,390279,393163,,you turn into Speedy Gonzalez?
158,393165,396817,,
159,397752,399286,,Uh-uh.
160,399288,403173,,(knocking) SHELDON: Penny! Penny! Penny!
161,403175,404458,,"Sorry, Stallion."
162,404460,406710,,Your weird friend Giraffe is here.
163,408847,410413,,"Hello, Penny!"
164,410415,413133,,I just stopped by to bring you this gift.
165,413135,414751,,Gummy bears? Thank you.
166,414753,416753,,Now that you're in my debt...
167,418256,420924,,...please manipulate Amy into releasing me from my
168,420926,424478,,commitment to attend her aunt's tedious birthday party.
169,424480,425729,,Not a chance.
170,425731,426980,,All right.
171,426982,428615,,I thought the candy might not be enough
172,428617,430818,,so let me up the ante. (clears throat)
173,430820,432820,,These are Cooper Coupons.
174,432822,435906,,These are for various things I can do for you.
175,435908,437407,,"Um, oh, this one"
176,437409,439626,,is for one free grammar check.
177,439628,441161,,Uh...
178,441163,443330,,"You could use it for emails, letters,"
179,443332,444665,,"tattoos, what have you."
180,444667,446333,,Um...
181,446335,447751,,"Oh, this is fun one!"
182,447753,451138,,"This is an afternoon with me at the California Science Center,"
183,451140,454141,,where I point out their mistakes.
184,454143,456960,,"Keep an eye on those expiration dates,"
185,456962,459062,,I've been burned more than once.
186,459064,461515,,"All right, sweetie, I'm not going to get involved"
187,461517,462649,,in your relationship.
188,462651,465018,,"Oh, come on. It's just a simple favor."
189,465020,466153,,"Now, when's the last time I asked you"
190,466155,467154,,to do something for me?
191,467156,469356,,Yesterday. You made me look in your ear
192,469358,471358,,to see if there was a ladybug in it.
193,471360,474311,,When is the last time I asked you to do something
194,474313,475645,,that wasn't a medical emergency?
195,475647,477364,,Yesterday. You made me look in your ear
196,477366,479566,,to see if there was a ladybug in it.
197,480818,482336,,"All right, then, I have no choice"
198,482338,483653,,but to go on to plan B.
199,483655,484821,,What's that?
200,484823,485989,,I'm going to run around outside
201,485991,487991,,with a wet head and try to catch a cold.
202,492213,493430,,Good morning.
203,493432,495098,,Hello.
204,495100,497384,,I think you're really going to enjoy yourself today.
205,497386,499052,,"Not only do you get to meet my relatives,"
206,499054,501438,,"but since you aunt's nursing home is catering the party,"
207,501440,503056,,all of the food is incredibly soft.
208,503058,505442,,It's like a vacation for your teeth.
209,505444,507010,,All right.
210,508679,510314,,You sure you're okay with this?
211,510316,511698,,Yes.
212,511700,514034,,I decided to find a way that I could
213,514036,516519,,have this experience and enjoy it.
214,516521,519323,,Thank you. That means a lot to me.
215,519325,520741,,"Oh, don't thank me."
216,520743,522192,,Thank wireless technology.
217,522194,525462,,"I realized, I can go to your aunt's awful party"
218,525464,529633,,and still spend the whole day gaming with my friends.
219,529635,532753,,"Sheldon, my relatives are going to want to talk to you,"
220,532755,535472,,and you're going to be sitting there playing a game?
221,535474,537090,,Isn't that a little rude?
222,537092,539226,,"Oh, I got that covered."
223,539228,540928,,Headset.
224,540930,543847,,I won't hear a word the old geezers are saying.
225,546100,549069,,"You know, if playing that game is more important to you"
226,549071,550520,,"than honoring your commitment to me,"
227,550522,552906,,and you don't mind me showing up at a party all by myself
228,552908,554057,,after I've already told everybody
229,554059,556159,,"I'll be bringing somebody, then, fine."
230,556161,557661,,Go home and play your game.
231,557663,559529,,(engine starts)
232,560164,561531,,Thanks.
233,563067,564234,,"Ooh, listen,"
234,564236,567421,,"I wouldn't mind a piece of birthday cake,"
235,567423,572075,,provided the old gal's candle blow is clean and dry.
236,582950,584309,,Here you go.
237,584310,586560,,I've got everything we'll need for the big game:
238,586562,589062,,lowfat turkey jerky...
239,589064,592299,,low-carb beer...
240,592301,595102,,100-calorie snack pack...
241,595104,597854,,You pick up a Y chromosome while you were there?
242,597856,599439,,You might be short one.
243,599441,602059,,"Hey, I plan on leveling up in the game,"
244,602061,605195,,"not my swimsuit size, thank you very much."
245,605197,607480,,"Gentlemen, the game offers us a choice,"
246,607482,610334,,"between playing for the Republic and the light side,"
247,610336,613420,,or the Sith Empire and the dark side.
248,613422,614871,,"Well, we're always the good guys."
249,614873,616373,,"In D&D, we're lawful good,"
250,616375,618058,,"in City Of Heroes, we're the heroes,"
251,618060,620928,,"and Grand Theft Auto, we pay the prostitutes promptly,"
252,620930,622996,,and never hit them with a bat.
253,626538,628990,,Those women are prostitutes?
254,629387,632589,,You said they were raising money for stem cell research.
255,634392,637427,,"Hey, guys, I got a surprise."
256,637429,639780,,"Uh, if it's yogurt that helps ladies poop,"
257,639782,641782,,I think Raj beat you to it.
258,641784,645035,,No. Bernadette's going to be playing with us.
259,645037,648488,,"So, that's pretty cool, huh? Right? Sure it is, yeah."
260,648490,651358,,"What, you invited your girlfriend?!"
261,651360,653360,,This is supposed to be our weekend!
262,654008,656141,,"I had no choice. Last night, she said,"
263,656143,657443,,"""Why don't we go out for brunch tomorrow"
264,657445,659728,,"and then maybe the Arboretum."" And I said, ""Well, no,"
265,659730,661063,,"""I promised the guys I was going to play"
266,661065,662531,,"a video game with them all weekend."""
267,662533,664400,,"And she said, ""That sounds like fun. Can I come, too?"""
268,664402,666285,,"And then I didn't answer for a second, and then she said,"
269,666287,667620,,"""Well, do you not want me to come?"""
270,667622,669187,,"And then I bought her a new laptop and the game,"
271,669189,671273,,and she's parking the car right now.
272,672742,674660,,Is the whip sound app
273,674662,676629,,contextually appropriate here?
274,676631,679581,,"Uh, it is, but I think you might've waited too long"
275,679583,681000,,for it to be funny.
276,681002,685654,,(whip cracks) (laughter)
277,685656,687973,,(laughing): I was wrong; it's still funny.
278,687975,689391,,"Oh, good."
279,689393,691710,,(high-pitched laugh)
280,695381,696649,,Oh.
281,696651,698984,,"Amy, what's wrong?"
282,698986,700719,,My boyfriend's a jerk.
283,701688,703405,,"Well, I know he didn't cheat on you,"
284,703407,704657,,so what happened?
285,705692,708577,,"I had to go to my aunt's party all by myself,"
286,708579,710112,,"and everybody was like,"
287,710114,711613,,"""Where's this boyfriend you're always talking about?"
288,711615,714033,,"""Is he real, or did you make him up like Armen,"
289,714035,717036,,"the miniature horse breeder?"""
290,717038,719788,,Who's Armen the miniature horse breeder?
291,719790,723075,,The pretend boyfriend I invented to get my family off my back.
292,723077,725260,,It unraveled quickly when I couldn't answer the question
293,725262,727763,,"""How'd you two meet?"""
294,727765,730582,,I would have thought at a miniature horse show.
295,730584,733085,,"Oh, that's good. - Mm."
296,733087,736121,,I panicked and said Woodstock.
297,736123,737306,,(sighs)
298,737308,740192,,I just wanted to show Sheldon off to my family.
299,740194,741443,,"Sure, I get that."
300,741445,743762,,"I mean, he's your first boyfriend and all."
301,743764,745981,,"Not just my first boyfriend, he's the best boyfriend."
302,745983,747649,,"I mean, think about it."
303,747651,750085,,I'm dating Sheldon Cooper.
304,752438,753572,,Yes.
305,753574,756158,,On purpose.
306,756160,757793,,"He's handsome, he's lanky,"
307,757795,759545,,"he's brilliant,"
308,759547,763365,,"and his skin has that pale, waxy quality."
309,763367,765868,,"Well, sickly is the new sexy."
310,768538,771240,,Yeah. - Mm.
311,771242,772775,,"You know, Amy,"
312,772777,775427,,sometimes when you're in a relationship with someone
313,775429,777312,,"you really care about, the sucky part is,"
314,777314,778931,,it leaves you open to getting hurt.
315,778933,781767,,Do you ever worry about Leonard doing that to you?
316,781769,784586,,(laughs) That's hilarious. No.
317,786806,788574,,Get that guy! Get that guy!
318,788576,791309,,Pew! Pew! Pew! Pew!
319,792162,793095,,"Dr. Rostenkowski,"
320,793097,794496,,it may interest you to know
321,794498,797199,,"that saying ""pew, pew, pew"" isn't as effective"
322,797201,799668,,as pressing your blaster key.
323,799670,801754,,"In the same way that saying ""whee!"""
324,801756,804206,,doesn't make the land speeder go.
325,805992,808177,,Pew!
326,809629,811263,,"Raj, Imperial Troopers on your tail."
327,811265,812881,,(groaning): Got him.
328,812883,815768,,"When Gandhi advocated his philosophy of non-violence,"
329,815770,819922,,I bet he didn't know how much fun it was killing stuff.
330,819924,822507,,"All right, I think we got them all."
331,822509,824109,,Let's divide up the loot.
332,824111,826645,,"BERNADETTE: Ooh, look at this pretty purple robe I just got."
333,826647,829114,,You should put on yours and then we'll match.
334,829116,832017,,But I worked hard to get this armor.
335,832019,833535,,"Sorry, I just thought it'd be nice"
336,833537,836705,,if people knew we were a couple.
337,836707,838690,,"Fine, I'll change."
338,839626,842394,,(whip cracks)
339,846166,847883,,(high-pitched laugh)
340,851805,853581,,I don't think I want to play a game.
341,853606,854457,,"Oh, come on!"
342,854458,855722,,They're playing one across the hall--
343,855747,856947,,"we should, too."
344,857011,859478,,"Okay, we are gonna take turns bouncing a quarter"
345,859480,861847,,"off the table, and if it goes into this cup,"
346,861849,863265,,the other person has to drink.
347,863267,864850,,Then you get to go again...
348,864852,867035,,(coin clinks in glass)
349,869506,871023,,Like that?
350,871025,873192,,"Wow. Yeah, b-beginner's luck."
351,873194,877112,,"So, now I will drink this entire cup of beer, and you"
352,877114,879364,,will go again... (coin clinks in glass)
353,881484,882734,,Uh...
354,882736,884870,,"All right. So, yeah, okay, now I'm gonna"
355,884872,888173,,drink this entire cup and then I'm going to drink another one.
356,888175,891660,,"(coin clinks in glass) Okay, seriously, stop. What the hell?"
357,891662,893128,,Spent a lot of my childhood
358,893130,895413,,throwing coins into wishing wells hoping for friends.
359,895415,897432,,"At a certain point, you start doing trick shots"
360,897434,899751,,just to keep things interesting.
361,899753,902938,,"Whoa, give me a second to catch up here. Hold on."
362,902940,904456,,(guys cheering across the hall)
363,904458,906208,,That'd be my boyfriend
364,906210,907559,,happier playing
365,907561,909278,,his dopey Star Trek game with his friends
366,909280,910395,,than hanging out with me.
367,910397,912698,,Wars. - What?
368,912700,913782,,Star Wars.
369,913784,915951,,They get all cranky when you mix the two up.
370,915953,917035,,What's the difference?
371,917037,919788,,There's absolutely no difference.
372,921875,924576,,How do I get him to treat me better?
373,924578,925744,,All right.
374,925746,927913,,Let me give you a little girlfriend 101.
375,927915,930082,,Usually the first move out of the gate
376,930084,931383,,"is you withhold sex,"
377,931385,933952,,but that will work better after Sheldon hits puberty.
378,933954,937472,,"So, I'd say..."
379,937474,939424,,give him the silent treatment.
380,939426,941393,,"No, he loves that. Hmm."
381,941395,943428,,Our record for sitting in a room together
382,943430,946481,,and not speaking to each other is six-and-a half hours.
383,946483,949184,,He said it was a magical evening.
384,949186,951136,,"All right, then we're gonna have to go"
385,951138,952404,,with an oldie but goodie;
386,952406,953522,,making a scene.
387,953524,955824,,I don't think I'd be good at that.
388,955826,957276,,That's why you're lucky to have me.
389,957278,959194,,"Back in Omaha, there are two different restaurants"
390,959196,960762,,I'm not allowed into. Both Chili's.
391,964667,966285,,"Bernadette, remember, your character's"
392,966287,968036,,the healer in our group.
393,968038,970756,,"You're in charge of healing all of us, not just Howard."
394,970758,972507,,I can't help it.
395,972509,975327,,My Howie Wowie has an owie.
396,976262,978964,,That is the most sickeningly sweet thing
397,978966,980799,,I have ever experienced.
398,980801,986338,,And I am sipping Kool-Aid through a Red Vine.
399,986340,989274,,"Sheldon Cooper, I've got a bone to pick with you,"
400,989276,991977,,and I'm about to do it in front of all your friends.
401,991979,995847,,"Yeah, you pick that bone. You pick that bone clean!"
402,995849,997032,,"I'm gonna publicly shame you,"
403,997034,999401,,and then sit back as societal pressure compels you
404,999403,1000619,,to modify your behavior.
405,1000621,1003188,,"Ooh, buuurn!"
406,1004207,1005991,,"And if you don't start treating me better,"
407,1005993,1007042,,I'm leaving you
408,1007044,1009694,,for a miniature horse breeder named Armen.
409,1010496,1012547,,Armen who?
410,1012549,1014216,,Armen... damn it.
411,1016702,1019638,,"Look, Sheldon, she wanted to show you off to her family,"
412,1019640,1021423,,"and you stood her up, okay?"
413,1021425,1024209,,"Look at this adorable, smushy face."
414,1024211,1027212,,"Smush, smush, smush."
415,1027214,1028713,,You're hurting me.
416,1028715,1031650,,"No, Sheldon hurt you."
417,1031652,1033685,,Before; now it's you.
418,1033687,1035520,,Oh.
419,1035522,1038340,,I think I understand.
420,1038342,1039441,,You're the one person
421,1039443,1041994,,"who can say Sheldon Cooper is your boyfriend,"
422,1041996,1044780,,but that rings hollow if you can't lord him
423,1044782,1046698,,over others in the flesh.
424,1048167,1049251,,I forget what I bring
425,1049253,1051119,,to the party and what I take away
426,1051121,1052921,,when I leave.
427,1052923,1057759,,Please accept these valuable Cooper Coupons...
428,1059429,1061847,,...as restitution.
429,1061849,1063215,,"Sheldon, she doesn't want your stupid..."
430,1063217,1065017,,"Ooh, Science Center. Redeeming."
431,1065019,1067419,,Let's go.
432,1068471,1070355,,"Well played, Amy Farrah Fowler."
433,1070357,1072224,,Let me get my coat.
434,1072226,1073792,,(whip cracks)
435,1073794,1075477,,"Oh, grow up, Leonard."
436,1075479,1077479,,"But e-excuse me,"
437,1077481,1079597,,I have something to say.
438,1080616,1083535,,"None of you may realize it, but I was very much"
439,1083537,1085320,,looking forward to this weekend.
440,1085322,1086405,,It was gonna be like
441,1086407,1088907,,the old days-- the four of us hanging out
442,1088909,1090625,,playing video games before you guys
443,1090627,1092294,,all got girlfriends.
444,1092296,1094212,,Do you have any idea what it's like
445,1094214,1096631,,to be the only one without a girlfriend?
446,1096633,1098166,,"Even if I get one someday,"
447,1098168,1100168,,I'll still be the guy who got a girl
448,1100170,1102971,,after Sheldon Cooper!
449,1107226,1110462,,And that's how a girl makes a scene.
450,1115184,1116184,,"I'm sorry, sweetie."
451,1116186,1117819,,You're right. You deserve your weekend.
452,1117821,1119020,,"Come on, Amy, let's go."
453,1119022,1120822,,What about the Science Center?
454,1120824,1123992,,I'll let you hold my hair while I throw up.
455,1124694,1126912,,Rain check.
456,1127947,1129197,,"I'm gonna go, too."
457,1129199,1130949,,I'll miss you. - I'll miss
458,1130951,1132868,,"I'll miss you more. - No, I'll..."
459,1132870,1135253,,Just leave!
460,1138157,1140158,,"(sighs) Okay, now."
461,1140160,1142043,,This is the way it's supposed to be.
462,1142045,1144379,,"Men together, fighting the forces of evil."
463,1144381,1146515,,"LEONARD, SHELDON, WOLOWITZ: Hear! Hear!"
464,1146517,1148600,,(sighs)
465,1148602,1151503,,I can't believe this is only 64 calories.
466,1167372,1169047,,(pounding at door)
467,1169051,1170744,,MRS. WOLOWITZ: Howard Joel Wolowitz!
468,1170745,1172778,,"I've been worried sick for two days,"
469,1172780,1175314,,and I know you turned off your phone!
470,1177684,1179668,,MRS. WOLOWITZ: You open up this door right now
471,1179670,1181370,,because I've had it up to here!
472,1181372,1183288,,"I have been to the morgue and the hospital,"
473,1183290,1184723,,and I spent the last half hour
474,1184725,1188393,,walking up these   stairs!
475,1191414,1193649,,That's my ride; got to go.
476,1195184,1197069,,(whip cracks)
477,1197071,1257071,,"== sync, corrected by   =="
