,start,end,kor,eng
0,8405,10222,,(laughs)
1,11342,14560,,I wish you could all be inside my head.
2,15412,17797,,The conversation is sparkling.
3,19483,20900,,"Fine, I'll tell you."
4,22086,24504,,"A lichen is an organism made up of two separate species,"
5,24506,26122,,fungi and algae.
6,26124,27707,,"If you could merge with another species,"
7,27709,30877,,what species would you pick and why?
8,30879,33463,,Hint: There is a right answer.
9,34832,36415,,None of you will get it.
10,37851,41637,,"Okay, I'd pick swan because, uh, the resulting hybrid"
11,41639,43806,,would have the advanced industrial civilization
12,43808,46275,,of a human and the long graceful neck
13,46277,48427,,I've always dreamed of having.
14,49680,52365,,Wrong. Leonard?
15,52367,56235,,"Horse, but mostly just for the height."
16,56237,59155,,A little bit for the genital girth.
17,60324,62441,,"Wrong, and let's keep it clean, shall we?"
18,63911,65078,,"Kangaroo, uh,"
19,65080,67080,,I'd be Kanga-Jew.
20,67082,68464,,(chuckles)
21,68466,71667,,The first of my people to dunk a basketball. (chuckles)
22,71669,73970,,"Also instead of just living in your mother's house,"
23,73972,76839,,you could actually live inside her body.
24,76841,78791,,(mocking laugh)
25,80127,82178,,"Clever, but also wrong."
26,82180,84797,,"No, the best organism for human beings to merge with"
27,84799,86349,,is the lichen itself.
28,86351,89736,,"That way, you'd be human, fungus, and algae."
29,89738,91303,,Triple threat.
30,91305,94306,,Like three-bean salad.
31,94308,96893,,Give me one circumstance in which that would be useful.
32,96895,97827,,"All right, picture this:"
33,97829,100312,,a beautiful outdoor concert.
34,100314,102815,,"Now, as a human, I appreciate Beethoven."
35,102817,105535,,"As a fungus, I have a terrific view,"
36,105537,107486,,growing out of a towering maple tree.
37,107488,109705,,"And no thank you, expensive concessions."
38,109707,113426,,"Because as an algae, I'll just snack on this sunlight."
39,114278,116863,,"He got us again. - No, he didn't."
40,116865,119098,,"Anyway, if it's okay with you,"
41,119100,121801,,we should talk about Howard's bachelor party.
42,121803,122802,,"Oh, oh."
43,122804,124670,,Seems like a bit of a letdown
44,124672,126172,,"after our lichen conversation, but..."
45,126174,128441,,"What do you know, you're half swan."
46,129676,131360,,I've been doing some research on strippers.
47,131362,134030,,"One agency I spoke to, said I could get us a great price"
48,134032,137784,,if we're flexible on age range and number of limbs.
49,138819,140519,,"Sounds like loads of fun,"
50,140521,143573,,but I promised Bernadette no strippers.
51,143575,145708,,You don't want strippers? You're the king of strippers.
52,145710,149162,,The one club in North Hollywood named a pole after you.
53,149164,152582,,What can I tell ya-- I'm not into that stuff anymore.
54,152584,154300,,"Good for you, Howard. I'm proud of you."
55,154302,156586,,"And still, you're the first one of use to get married."
