,start,end,kor,eng
0,1792,4446,,"So, Bernadette, how goes the hunt for bridesmaid dresses?"
1,4447,6013,,"Well, if you don't mind looking like"
2,6015,7815,,"an orange traffic cone, great."
3,7817,10568,,"AMY: Girlfriends, I have the answer"
4,10570,11736,,to our dress problems.
5,11738,12787,,BERNADETTE: Really?
6,12789,14905,,"AMY: 12 years ago, my cousin Irene"
7,14907,16023,,and her entire family died
8,16025,18025,,in a horrific carbon monoxide accident
9,18027,20077,,the night before her wedding.
10,21246,22713,,That's horrible.
11,22715,24498,,Yes and no.
12,25584,27551,,All those bridesmaids dresses remain unused
13,27553,29754,,and available to us for free.
14,29756,31756,,So it seems
15,31758,33557,,that cloud of odorless deadly gas
16,33559,35342,,had a silver lining after all.
17,35344,36844,,"Check it out,"
18,36846,37878,,still in the bags.
19,37880,39847,,"The gowns, not the bridesmaids."
20,42517,43818,,I don't know.
21,43820,45486,,Dead people's dresses?
22,45488,47521,,"Yeah, and cap sleeve"
23,47523,49273,,Eh...
24,49275,51558,,"Oh, I was hoping you wouldn't notice."
25,51560,53694,,Irene was always a slave to a good bargain
26,53696,54895,,"when it came to clothes,"
27,54897,57164,,"and sadly as it turned out, space heaters."
28,58366,59950,,"Ladies, please."
29,59952,64455,,These four walls once housed an intellectual salon
30,64457,66573,,where the mind received nourishment
31,66575,68125,,as well as the stomach.
32,68127,71078,,"But through no one's fault, Penny,"
33,71080,74131,,the quality of dinner conversation
34,74133,76250,,in this apartment has declined.
35,76252,80271,,"And again, I'm looking at no one in particular, Penny."
36,81523,82723,,Fine.
37,82725,84275,,"What would you like to talk about, Sheldon?"
38,84277,86727,,"""What would you like to talk about, Sheldon?"""
39,86729,88896,,Why do you hate us?
40,90198,91431,,I've prepared a number of topics
41,91433,92983,,that should appeal to both the advanced
42,92985,95653,,and novice conversationalists.
43,95655,97705,,"Okay, that time you looked at me."
44,98623,99707,,Who didn't?
45,99709,101125,,Your skin is like alabaster.
46,101127,103461,,Do you even have pores?
47,104262,106046,,SHELDON: Topic one:
48,106048,108549,,"""Faster-than-light particles at CERN--"
49,108551,110484,,"""paradigm-shifting discovery"
50,110486,113838,,"or another Swiss export as full of holes as their cheese?"""
51,113840,115222,,And converse.
52,116308,118025,,"PENNY: All right, who wants to go"
53,118027,119426,,to my apartment and look at bridal magazines?
54,119428,120728,,"Oh, me."
55,120730,123564,,"Through no one's fault, Sheldon, we're leaving."
56,125350,127234,,Wait for
57,127236,129153,,You're leaving?
58,129155,131939,,"Sheldon, sometimes you forget, I'm a lady."
59,131941,133073,,And with that comes
60,133075,134658,,an estrogen-fueled need to page through
61,134660,137077,,thick glossy magazines that make me hate my body.
62,142200,144168,,New topic: women.
63,144170,148205,,Delightfully mysterious or bat-crap crazy?
64,148207,149206,,Totally.
65,149208,150657,,What's wrong with cap sleeves?
66,150659,153294,,"If you have the right figure for it, they're adorable."
67,156664,160301,,"¢Ü Our whole universe was in a hot, dense state ¢Ü"
68,160303,163637,,¢Ü Then nearly 14 billion years ago expansion started... Wait! ¢Ü
69,163639,165272,,¢Ü The Earth began to cool ¢Ü
70,165274,167791,,"¢Ü The autotrophs began to drool, Neanderthals developed tools ¢Ü"
71,167793,170461,,¢Ü We built the Wall ¢Ü ¢Ü   ¢Ü
72,170463,173147,,"¢Ü Math, Science, History, unraveling the mystery ¢Ü"
73,173149,175032,,¢Ü That all started with a big bang ¢Ü
74,175034,175694,,¢Ü   ¢Ü
75,175695,178695,,"Original Air Date on November 3, 2011"
76,179196,182296,,"== sync, corrected by   =="
77,182338,185206,,"Hey, Amy, what brings you to our neck of the woods?"
78,185208,188042,,Your neurology department loaned me a culture of prions
79,188044,190828,,for my research on bovine spongiform encephalopathy.
80,194600,198686,,She popped by to borrow a cup of mad cow disease.
81,200556,203107,,"It's hard to make degenerative brain maladies hilarious,"
82,203109,204943,,and yet somehow you do it.
83,206695,208897,,That's fun to have in a lunchroom.
84,208899,211115,,The real fun starts when you get to pick the rat
85,211117,213184,,"you're going to feed it to, and maybe you choose"
86,213186,216037,,the beady-eyed little mother who's been biting you all week.
87,216039,218823,,"Please, we're eating."
88,218825,220458,,Can we get that off the table
89,220460,221459,,and change the subject?
90,221461,222410,,Can we?
91,222412,224245,,Stand back...
92,224247,228883,,"while I turn this conversation into a ""conver-sensation."""
93,228885,231002,,"This time, it's your fault."
94,232137,234556,,I have 100 alphabetized topics from
95,234558,237592,,"""artichoke-- come on, people, it's just a giant thistle,"""
96,237594,242897,,"to ""zzz-- the onamona-poetry of sleep."""
97,242899,244882,,"Amy, how long would it take"
98,244884,247902,,for that mad cow disease to kill me?
99,247904,249938,,"I don't know, four or five years."
100,251440,253724,,"No, it's not gonna do it."
101,256862,259747,,Oy. Bernadette keeps texting me pictures
102,259749,262333,,of Penny in bridesmaid dresses.
103,262335,263952,,They're out shopping right now?
104,263954,264919,,Yeah.
105,264921,266120,,Just the two of them?
106,266122,267738,,I guess.
107,268574,272043,,"That's cool, that's cool."
108,272045,273962,,Why are they asking me about this stuff?
109,273964,277432,,What guy knows what a sweetheart neckline is?
110,283939,286190,,(video game music playing over TV)
111,288927,292280,,Leonard's coming down the home stretch!
112,294817,297035,,"Come on, horsey, you can do this!"
113,298937,302323,,"Damn. Come on, thigh muscles, you can do this!"
114,302325,303574,,(panting)
115,303576,305793,,Yes! First place.
116,305795,309881,,I would have been a great jockey if I weren't too tall.
117,311500,313885,,And scared of horses.
118,313887,315136,,"Sheldon, you're up."
119,315138,316638,,What?
120,316640,317805,,"Come on, it's your turn."
121,317807,320341,,We said we'd get more fresh air.
122,320343,321926,,Sorry.
123,321928,323261,,I'm a little distracted.
124,323263,325430,,I can't seem to get in touch with Amy.
125,325432,327298,,"I tried e-mail, video chat,"
126,327300,328799,,"tweeting her, posting on"
127,328801,331269,,"her Facebook wall, texting her, nothing."
128,331271,333237,,Did you try calling her on the telephone?
129,334073,336157,,The telephone.
130,339478,342280,,"You know, Leonard, in your own simple way,"
131,342282,344982,,you may be the wisest of us all.
132,345801,347168,,Voice mail.
133,347170,350922,,Curiouser and curiouser.
134,350924,352590,,"If you're worried, we can go over there"
135,352592,353824,,and see if she's all right.
136,353826,354992,,Okay.
137,354994,356461,,"You know, I heard in the news"
138,356463,360431,,a bobcat has been spotted in her neighborhood.
139,360433,363301,,I don't think Amy was eaten by a bobcat.
140,363303,366187,,Who thinks Amy was eaten by a bobcat?
141,367056,368639,,You do?
142,368641,372643,,"Leonard, I was just mentioning an interesting local news item."
143,372645,375863,,"Now, thanks to you, I'm worried Amy's been eaten by a bobcat."
144,375865,377949,,Forget about the bobcat.
145,377951,380702,,How can I? You won't stop talking about it!
146,383489,388459,,¢Ü Everybody hurts ¢Ü
147,388461,390861,,¢Ü Sometimes ¢Ü
148,390863,394215,,(voice breaking): ¢Ü Everybody cries ¢Ü
149,394217,395750,,(sobbing)
150,397553,401872,,¢Ü Everybody hurts ¢Ü
151,403041,405042,,Sometimes.
152,405044,406461,,She sounds weepy.
153,406463,407979,,I don't like weepy. Let's go.
154,407981,409430,,Uh...
155,409432,410732,,She's your friend.
156,410734,412100,,Step up.
157,413485,416053,,Amy. Amy. Amy.
158,416055,417572,,Bye.
159,417574,418689,,Where are you going?
160,418691,421492,,"I'm single, I don't need this crap."
161,423728,425062,,"Sheldon, what are you doing here?"
162,425064,426197,,You didn't respond to
163,426199,428166,,any of my electronic communications.
164,428168,429951,,I wanted to be alone.
165,432755,434539,,Would you like to talk about it?
166,434541,439677,,"And keep in mind that ""no"" is a perfectly viable answer."
167,439679,443014,,"Sheldon, my world is crumbling around me."
168,443016,445249,,Point of order.
169,445251,448252,,"As you're in distress, it would be customary"
170,448254,450471,,for me to offer you a hot beverage.
171,451673,453524,,"But I'm a guest in your home,"
172,453526,457028,,so it would be customary for you to offer me a beverage.
173,458263,461949,,How do you want to proceed vis-a-vis beverages?
174,461951,463117,,It doesn't matter.
175,463119,465486,,Nothing matters.
176,466789,470792,,"If you'd like to take your mind off what's troubling you,"
177,470794,475163,,"uh, word on the street is a bobcat has been spotted."
178,475998,477948,,Penny and Bernadette went shopping
179,477950,479783,,for bridesmaids dresses without me.
180,479785,485456,,And that made you feel... sad?
181,485458,487058,,Yes.
182,487060,488810,,I knew it.
183,489728,490761,,Just keep going.
184,490763,492847,,I guess I'm good at this.
185,494516,496851,,"It's just, I thought they liked hanging out with me,"
186,496853,499237,,but I guess I was fooling myself.
187,499239,501989,,"When they were over here,"
188,501991,505809,,did you fail to offer them a beverage?
189,507079,510748,,'Cause I can see how that could stick in someone's craw.
190,510750,513918,,"Sheldon, I'm going to ask you something,"
191,513920,516003,,and I'd like you to keep an open mind.
192,516005,517371,,Always.
