,start,end,kor,eng
0,495,2779,,You feel like trying something new for dinner?
1,2780,5081,,"Maybe Indian, Tex-Mex?"
2,5083,7217,,You ever wonder how humans would be different
3,7219,10420,,if they evolved from lizards instead of mammals?
4,12456,14674,,"Okay, let's talk about that."
5,16093,18812,,"As you know, lizards-- cold-blooded animals--"
6,18814,20897,,lack the ability to sense temperature.
7,20899,23817,,But they do move more sluggishly when it's cold.
8,23819,26486,,"So, lizard weathermen would say things like,"
9,26488,29772,,"""Bring a sweater, it's slow outside."""
10,31775,34861,,I love my mind.
11,34863,36412,,We all do.
12,36414,37813,,"Now, how about dinner?"
13,37815,42035,,"Oh, I would assume we'd enjoy insects or smaller lizards."
14,42037,44037,,We could also pull each other's tails off and grill them;
15,44039,46039,,they'll just grow back.
16,48759,49825,,Oh!
17,49827,53713,,My life-size cardboard Mr. Spock is here!
18,53715,57350,,"I know he wouldn't care for an outburst of human emotion,"
19,57352,60186,,"but, oh, goodie, oh, goodie, oh, goodie."
20,61505,66676,,Commander Spock requesting permission to be unfolded.
21,66678,67677,,Excuse me.
22,67679,70179,,"Permission granted, Commander."
23,71782,74367,,"Which is why the more intelligent the monkey,"
24,74369,76986,,the more feces they fling.
25,78489,80456,,"(knocks) Excuse me, Amy."
26,80458,82492,,"Penny, do you have plans for dinner tonight?"
27,82494,83859,,"Why, you guys going somewhere?"
28,83861,84994,,"No, I mean just you and me."
29,84996,88248,,"You mean, like a date?"
30,88250,90166,,"Not like a date, a date."
31,90168,94337,,Ooh...! Ooh...!
32,94339,98341,,Um... o-okay.
33,98343,99342,,Sure.
34,99344,102979,,Ooh...! Ooh...!
35,102981,104230,,"SHELDON: Oh, no!"
36,104232,107283,,They sent the wrong Spock!
37,108402,112021,,"Live long and suck it, Zachary Quinto."
38,112022,114222,,"Original Air Date on January 19, 2012"
39,114223,116223,,"== sync, corrected by   =="
40,116264,118382,,This is so exciting.
41,118384,120050,,"If Leonard and Penny get back together,"
42,120052,122269,,Howard and I can go on double dates with them.
43,122271,126223,,How come you never invite Sheldon and me on a double date?
44,126225,129559,,"Mm, uh..."
45,129561,131545,,"How's it going in there, Penny?!"
46,131547,133547,,PENNY: Just a sec.
47,134399,137401,,Too much?
48,137403,139569,,Yes. No.
49,141139,144074,,"Okay, just hang on."
50,144076,147878,,"You just can't handle her raw sexuality, can you?"
51,147880,150997,,When did you and Leonard break up?
52,150999,152766,,"Uh, about two years ago."
53,152768,155051,,Why do you think he asked you out again?
54,155053,156002,,I don't know.
55,156004,157237,,Maybe he's dying.
56,157239,159389,,That would be so romantic.
57,159391,161508,,He's not dying.
58,161510,163460,,Too bad.
59,163462,165962,,"If he were, she could just throw him in bed"
60,165964,169116,,and ride him right up until he flatlines.
61,171986,174654,,How about this?
62,174656,177674,,Maybe. Come on.
63,177676,180527,,"Yeah, okay, no."
64,180529,182662,,Do you think you'll sleep with him tonight?
65,182664,183997,,PENNY: Absolutely not.
66,183999,185332,,"Look, we're just gonna have dinner"
67,185334,187117,,"and, you know, see how it goes."
68,187119,189369,,"If he were dying, would you sleep with him?"
69,189371,190987,,What?!
70,190989,192622,,Assuming he were dying of something
71,192624,195342,,that couldn't be sexually transmitted.
72,195344,198795,,"You know, like a spear wound to the head."
73,198797,200430,,"Okay, he is not dying."
74,200432,203099,,How do you know? Are you a doctor?
75,203101,205318,,"You can make-believe, though."
76,205320,208472,,Sometimes Howard and I pretend that his arrhythmia is acting up
77,208474,210173,,and I'm a sexy cardiologist.
78,210175,215395,,And the naughty part is I'm not in his HMO network.
79,217148,220066,,Screw it. I'm not gonna make a big deal out of this.
80,220068,221568,,It's just dinner.
81,221570,223286,,With a dead man.
82,223288,224854,,(growls playfully)
83,224856,226823,,"Amy, stop it."
84,226825,228208,,"Oh, God, I'm so nervous."
85,228210,229493,,BERNADETTE: Relax.
86,229495,231578,,You know Leonard's always been crazy about you.
87,231580,232796,,It's gonna be great.
88,232798,234414,,"I know, but we've finally gotten to a place"
89,234416,236049,,where we can hang out without it being weird.
90,236051,238051,,And what if something goes wrong? Then what?
91,238053,239820,,Guess it'll just be Sheldon and me
92,239822,242672,,going on a double date with Howard and Bernadette.
93,242674,246393,,"Sure, we'd love that."
94,246395,250096,,Change your clothes; we got a lot riding on this.
95,255069,257070,,Mm...
96,257072,259623,,"I want to build a road,"
97,259625,262725,,but I need wood.
98,262727,264961,,Do either of you fellows have wood?
99,271252,273470,,I don't understand the laughter.
100,274805,276239,,The object of Settlers of Catan
101,276241,278258,,is to build roads and settlements.
102,278260,279709,,To do so requires wood.
103,279711,283230,,"Now, I have sheep; I need wood."
104,285149,287267,,Who has wood for my sheep?
105,287269,289035,,(both laughing)
106,290254,292889,,"Okay, how do I look?"
107,292891,295559,,"More to the point, why are you doing this?"
108,295561,296476,,What are you talking about?
109,296478,297944,,Did you forget what Penny did to you?
110,297946,300196,,It took you two years and defiling my sister
111,300198,302765,,to turn that frown upside down.
112,302767,306102,,"I didn't defile your sister, we had a relationship."
113,306104,309639,,I heard you call her Brown Sugar.
114,309641,312475,,"In my book, that's defilement."
115,312477,314010,,You want to know my opinion?
116,314012,316446,,"Oh, boy, do I!"
117,316448,318615,,Sarcasm?
118,318617,320951,,No.
119,320953,323253,,"All right, then."
120,324488,325955,,The reason you're fixated on
121,325957,328675,,a good-natured simpleton like Penny is that
122,328677,332095,,she's the exact opposite of your first romantic attachment:
123,332097,334064,,your brilliant yet intimidating mother.
124,334066,336316,,Where on earth did you get that from?
125,336318,339686,,"It's in her book,"
126,341522,343806,,That doesn't make it true.
127,343808,346526,,"It's called nonfiction for a reason, Leonard."
128,346528,348795,,See you later.
129,349664,351448,,If they ever make a movie version
