,start,end,kor,eng
0,4336,6550,,"Gentlemen, I think I've come up with a"
1,6551,9318,,fun way to get young people interested in science.
2,10037,13006,,Physics Mad-Libs.
3,14541,16809,,"Now, give me a number. - Five."
4,16811,18311,,Uh-huh.
5,18313,20596,,And an irrational constant.
6,20598,22265,,"""E."""
7,22267,23850,,And a funny Greek letter.
8,23852,25068,,Gamma.
9,25070,26769,,I said funny.
10,26771,28738,,Upsilon?
11,28740,30106,,Good one.
12,30824,32892,,And an electrical charge.
13,32894,34193,,Positive.
14,34195,35528,,(laughs) Perfect.
15,35530,37563,,SHELDON: Okay. Get this.
16,37565,38865,,(clears throat)
17,38867,42401,,"""Professor Jones told the symposium he had a new method"
18,42403,45204,,"""for calculating the mass of a muon."
19,45206,50960,,"Five times the limit of (laughs) 'E' to the upsilon as..."""
20,50962,52178,,(laughing)
21,53380,54847,,"(clearing throat): Okay. No, no."
22,54849,55848,,I'll start over.
23,55850,57100,,"""Professor..."""
24,57102,58267,,(cracking up)
25,60304,62271,,I haven't seen him laugh that hard
26,62273,65257,,since the day Leonard made that multiplication error.
27,65259,67927,,"Oh, Oh, Lord, that multiplication error!"
28,67929,69645,,(laughing): He thought he carried the one.
29,69647,70947,,But he didn't.
30,70949,72665,,(laughing)
31,72667,73900,,It's not funny.
32,73902,75318,,That mistake got published.
33,75320,78037,,Stop! I'm going to wet myself!
34,78039,81273,,"Hey, guys, guys, President Siebert is headed this way."
35,81275,82942,,I wonder what he wants.
36,82944,84077,,"Doesn't look happy, so I'm guessing"
37,84079,85244,,he wants to talk to Sheldon.
38,85246,86278,,Dr. Cooper?
39,86280,87113,,Told ya.
40,87115,88498,,"Oh, President Siebert,"
41,88500,92051,,I assume you'd like to respond to one of the suggestions
42,92053,93719,,I put in the box by your office.
43,93721,97123,,"No, and stop installing suggestion boxes everywhere."
44,97125,99509,,You don't like written suggestions.
45,99511,101310,,You don't like when I give them to you while we're urinating
46,101312,103012,,in the men's room.
47,103014,105064,,"If I didn't know you any better, I'd say that you're one of those"
48,105066,107967,,stubborn people who are not open to suggestions.
49,107969,110803,,"Dr. Cooper, the physics department chair tells me"
50,110805,112405,,you're refusing to take your vacation.
51,112407,114073,,I don't need a vacation.
52,114075,115324,,You're obligated to take one.
53,115326,117410,,And I'd also like you to know the most-often received
54,117412,120079,,suggestion in my suggestion box you installed without asking me
55,120081,122849,,"is ""Can Dr. Cooper take a vacation?"""
56,123750,124984,,"Okay, settled, then."
57,124986,127703,,"I'll see y'all of you Monday, except for you."
58,127705,129088,,"But if I don't come into work,"
59,129090,130540,,what am I supposed to do with myself?
60,130542,132875,,"Read, rest, travel."
61,132877,135962,,I hear Afghanistan is nice this time of year.
62,137831,139549,,Sarcasm?
63,139551,141634,,No. You should go.
64,142836,146172,,"¢Ü Our whole universe was in a hot, dense state ¢Ü"
65,146174,150009,,¢Ü Then nearly 14 billion years ago expansion started... Wait! ¢Ü
66,150011,151527,,¢Ü The Earth began to cool
67,151529,154096,,"¢Ü The autotrophs began to drool, Neanderthals developed tools ¢Ü"
68,154098,156232,,¢Ü We built the Wall ¢Ü   ¢Ü
69,156234,159018,,"¢Ü Math, Science, History, unraveling the mystery ¢Ü"
70,159020,161137,,¢Ü That all started with a big bang ¢Ü
71,161139,163005,,¢Ü   ¢Ü
72,163030,167030,,"Original Air Date on February 9, 2012"
73,167031,171031,,"== sync, corrected by   =="
74,173631,176693,,¢Ü That tonight's gonna be a good night ¢Ü
75,176695,180113,,¢Ü And tonight's gonna be a good night ¢Ü
76,180115,185201,,"¢Ü And tonight's gonna be a good, good night ¢Ü"
77,185203,187103,,"¢Ü Tonight's the night, uh, uh ¢Ü"
78,187105,188488,,"¢Ü Let's live it up, uh ¢Ü"
79,188490,191958,,"¢Ü I got my money, let's spend it up... ¢Ü"
80,191960,193627,,Good Lord!
81,193629,196263,,Would you stop that caterwauling!
82,197131,198832,,(sighs)
83,198834,200500,,What the hell are you doing?!
84,200502,203253,,Bleeding from my ears.
85,203255,205221,,What are you doing hiding back there?
86,205223,206506,,I'm sneaking into work.
87,206508,208808,,"Now, if the guard at the university asks"
88,208810,209959,,"what's under the blanket,"
89,209961,212395,,you tell him it's some lobster traps.
90,212397,214731,,Lobster traps? - Yes.
91,214733,216016,,That's how Velma and Scooby
92,216018,218801,,smuggled Shaggy into the old lighthouse.
93,218803,222072,,What are you going to do when you get to the university?
94,222074,223823,,People are going to recognize you.
95,224659,227077,,"Will they, Leonard?"
96,230748,234034,,"Fine. Just get back under your blanket,"
97,234036,235368,,and I'll drive you there.
98,236787,238288,,And no more singing.
99,239957,241992,,Fine.
100,245546,247931,,SHELDON:
101,247933,250800,,
102,251936,254220,,I'm so glad you talked Howard
103,254222,257674,,out of having your wedding invitations in Klingon.
104,257676,260660,,Turn it over.
105,262697,265565,,I'm hoping my relatives think it's Hebrew.
106,267485,269653,,(sighs) This is really happening.
107,269655,271237,,I'm gonna be a maid of honor.
108,271239,274057,,I'm gonna wear a beautiful dress and walk down that aisle
109,274059,278128,,"and, finally, I will have my special day."
110,278130,279946,,You mean my special day?
111,279948,283917,,They're gonna need an extra- large veil for somebody's head.
112,284868,287253,,If I ever actually ever get married.
113,287255,288371,,Why wouldn't you?
114,288373,289723,,My dad...
115,289725,291508,,"'Cause I make a lot more money than Howie,"
116,291510,293843,,he's putting a lot of pressure on me to get a prenup.
117,293845,295211,,Ouch.
118,295213,297647,,Yeah. Howie's gonna freak out.
119,297649,299349,,Parental pressure can be daunting.
120,299351,303186,,I remember the battle with my mother about shaving my legs.
121,304188,306940,,"Last year, I finally gave in and let her do it."
122,308993,311828,,I just don't know how I'm gonna break it to him.
123,311830,313496,,"You know, I'm a big believer in breaking bad news"
124,313498,314781,,to a guy when you're in bed with him.
125,314783,316533,,That's how I told my high school boyfriend
126,316535,318201,,I slept with his brother.
127,319253,321755,,That's how I told his brother the same thing.
128,323290,325959,,"I don't know, I don't want to manipulate him with sex."
129,325961,328478,,"Oh, sweetie, that's what sex is for."
130,329630,330680,,"You know, the connection"
131,330682,332432,,between marriage and money is nothing new.
132,332434,335418,,"In fact, the term ""wed"" referred to the money and livestock"
133,335420,337353,,that the groom paid the bride's father.
134,337355,338388,,"For example,"
135,338390,339556,,"you're adorable,"
136,339558,340890,,intelligent and a good earner.
137,340892,342859,,I could conservatively see you going for
138,342861,345061,,at least two oxen and a goose.
139,346447,349315,,You would fetch a unicorn.
140,352603,355655,,"Sheldon, there are a million great vacations you could take."
141,355657,357040,,What about Hawaii?
142,357042,361878,,Hawaii is a former leper colony on top of an active volcano
143,361880,365582,,where the disappointing ending to   was filmed.
144,367117,370620,,"Mahalo for nothing, Hawaii."
145,370622,372138,,How about Florida?
146,372140,373406,,"They got Cape Canaveral,"
147,373408,375391,,"they got Disney, they got my Aunt Ida"
148,375393,378144,,and the world's largest collection of diabetic candy.
149,378146,379562,,"Plus, if you get sweaty enough,"
150,379564,382849,,her plastic-covered furniture is like a flume ride.
151,383967,386986,,My family took a trip to Florida when I was a child.
152,386988,391241,,A seagull stole a hot dog from me on the beach.
153,391243,392442,,I got the message.
154,394245,396312,,"You know, if I had a week off, I'd go back"
155,396314,398531,,to the Two Bunch Palms Resort and Spa in the desert.
156,398533,400950,,"I tell you, an hour on the massage table with Trevor,"
157,400952,404487,,and you'll feel like you were born without bones.
158,404489,408675,,I don't think I could ever let a guy give me a massage.
159,408677,410794,,Really? What was I doing to your neck last night
160,410796,412445,,while you were playing X-Box?
161,414248,416549,,It's like I'm living in a dictatorship.
162,416551,418885,,"""You must take a vacation, you must have fun,"
163,418887,422055,,"you must enjoy life."""
164,422057,424958,,I don't think you have a good handle on dictatorships.
165,426009,427977,,"Sheldon, everybody takes vacations."
166,427979,430613,,"One time they tried to make Richard Feynman take a vacation,"
167,430615,433032,,but he chose instead to expand his mind
168,433034,434200,,and learn something new.
169,434202,436619,,He went to work in his friend's biology lab.
170,436621,439539,,"Richard Feynman was a famous American physicist,"
171,439541,440957,,part of the Manhattan Project.
172,440959,445628,,Everyone in the world of science knows who Richard Feynman was.
173,445630,446830,,"Now you do, too."
174,449967,452502,,Oh! I have a brilliant idea.
175,452504,455622,,Amy's a biologist. I'll go work in her lab.
176,455624,458057,,Isn't that just Feynman's idea?
177,458059,459759,,"Ten seconds ago, you never heard of him."
178,459761,461194,,Now you're an expert.
179,464899,465849,,Hey.
180,465851,467567,,"Hey, you. - Is that your laundry?"
181,467569,469385,,"You only have, like, six things in there."
182,469387,470720,,"Yeah, I didn't have any quarters,"
183,470722,472355,,so I've been sneaking stuff
184,472357,474440,,into other people's loads all day.
185,474442,475742,,"Hey, if I tell you something,"
186,475744,477660,,will you promise not to tell anybody?
187,477662,479746,,"It doesn't matter what I say, you're gonna tell me anyway."
